station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown
84,LAKE MERRITT  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Blue Line, Green Line, Orange Line",Underground Fixed Guideway Station,1972,59200,37.797602,-122.265498,"800 Oak St, Oakland, CA 94607, USA",Oakland,CA,Alameda County,94607,5,1,2.42,12,115,26911.44,234.01,12,1,5.1,21,184,87328.69,474.61,40,1,5.09,176,526,423265.77,804.69,FALSE,FALSE,FALSE
85,MACARTHUR  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Orange Line, Red Line, Yellow Line",Elevated Fixed Guideway Station,1972,119300,37.828409,-122.267187,"MacArthur, 555 40th St, Oakland, CA 94609, USA",Oakland,CA,Alameda County,94609,25,5,8.43,7,80,29338.81,366.74,5,3,3.67,3,544,86999.8,159.93,5,1,3.12,24,2800,397189,141.85,TRUE,FALSE,FALSE
86,MILLBRAE  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Red Line, Yellow Line",Elevated Fixed Guideway Station,2003,118600,37.600006,-122.386534,"200 Rollins Rd, Millbrae, CA 94030, USA",Millbrae,CA,San Mateo County,94030,7,1,3.8,5,19,36095.73,1899.78,5,1,1.91,11,213,83558.85,392.3,2,1,1.29,28,806,301352.62,373.89,TRUE,TRUE,TRUE
87,MILPITAS STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Green Line, Orange Line",At-Grade Fixed Guideway Station,2018,50650,37.41025,-121.8911,"Milpitas, 1755 S Milpitas Blvd, Milpitas, CA 95035, USA",Milpitas,CA,Santa Clara County,95035,6,6,6,1,6,26725.82,4454.3,2,2,2,1,48,51600.13,1075,2,1,1.67,6,420,400637.32,953.9,TRUE,FALSE,FALSE
88,MONTGOMERY ST.  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Blue Line, Green Line, Red Line, Yellow Line",Underground Fixed Guideway Station,1973,148400,37.789336,-122.401485,"582 Market St Suite 1002, San Francisco, CA 94104, USA",San Francisco,CA,San Francisco County,94104,43,6,25.88,17,67,62995.45,940.23,52,1,17.13,54,268,210796.56,786.55,61,1,12.58,219,976,823853.56,844.11,FALSE,FALSE,FALSE
89,NORTH BERKELEY  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Orange Line, Red Line",Underground Fixed Guideway Station,1973,72000,37.874026,-122.283882,"1750 Sacramento St, Berkeley, CA 94702, USA",Berkeley,CA,Alameda County,94702,,,,0,188,21094.11,112.2,4,1,1.68,31,778,97671.51,125.54,4,1,1.7,164,3090,420332.97,136.03,FALSE,FALSE,FALSE
90,NORTH CONCORD/MARTINEZ  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,At-Grade Fixed Guideway Station,1995,89400,38.002577,-122.025106,"North Concord / Martinez, 3700 Port Chicago Hwy, Concord, CA 94520, USA",Concord,CA,Contra Costa County,94520,1,1,1,2,8,4939.84,617.48,,,,0,4,2532.62,633.15,1,1,1,2,17,6286.53,369.8,FALSE,FALSE,FALSE
91,OAKLAND INTERNATIONAL AIRPORT STATION,Heavy Rail,Bay Area Rapid Transit (BART),Oakland Airport Link,Elevated Fixed Guideway Station,2003,78500,37.71351,-122.21222,"Oakland International Airport Station, Oakland, CA 94621, USA",Oakland,CA,Alameda County,94621,,,,0,19,7479.86,393.68,,,,0,19,52563.2,2766.48,,,,0,14,56010.87,4000.78,FALSE,FALSE,FALSE
92,ORINDA  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,Elevated Fixed Guideway Station,1973,73200,37.878361,-122.183791,"Orinda Station, Orinda, CA 94563, USA",Orinda,CA,Contra Costa County,94563,2,2,2,1,12,6212.17,517.68,2,1,1.62,8,57,31795.8,557.82,3,3,3,1,126,63422.48,503.35,FALSE,FALSE,FALSE
93,PITTSBURG CENTER STATION,Hybrid Rail,Bay Area Rapid Transit (BART),Yellow Line,At-Grade Fixed Guideway Station,2017,15900,38.016834,-121.889084,"Pittsburg Center Station, 2099 Railroad Ave, Pittsburg, CA 94565, USA",Pittsburgh,CA,Contra Costa County,94565,,,,0,4,1839.94,459.98,,,,0,18,17993.54,999.64,,,,0,44,47128.77,1071.11,FALSE,FALSE,FALSE
