station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown,Typology
644,HIDDEN RIDGE STATION,Light Rail,Dallas Area Rapid Transit (DART),Orange Line,Simple At-Grade Platform Station,2021.0,1764.0,32.882271,-96.9552753,"Hidden Ridge Station, 700 Meadow Creek Dr, Irving, TX 75038, USA",Irving,TX,Dallas County,75038,0.0,0.0,0.0,0,7,19148.19,2735.46,0.0,0.0,0.0,0,34,36809.22,1082.62,0.0,0.0,0.0,0,83,144364.14,1739.33,False,False,False,Other
645,ILLINOIS TC/STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,1994.0,1100.0,32.723278,-96.804978,"Illinois TC/Station, Dallas, TX 75216, USA",Dallas,TX,Dallas County,75216,0.0,0.0,0.0,0,45,9894.44,219.88,1.0,1.0,1.0,1,221,37416.77,169.31,0.0,0.0,0.0,0,1002,180176.84,179.82,False,False,False,Other
646,INWOOD/LOVE FIELD STATION,Light Rail,Dallas Area Rapid Transit (DART),"Green Line, Orange Line",Elevated Fixed Guideway Station,2010.0,10808.0,32.82216,-96.83338,"Inwood/Love Field Station, Dallas, TX 75235, USA",Dallas,TX,Dallas County,75235,0.0,0.0,0.0,0,41,14398.17,351.17,0.0,0.0,0.0,0,151,74208.71,491.45,5.0,1.0,2.9,10,581,326659.19,562.24,False,False,False,Other
647,IRVING CONVENTION CENTER STATION,Light Rail,Dallas Area Rapid Transit (DART),Orange Line,Exclusive Platform Station,2011.0,17600.0,32.87692,-96.93856,"Irving Convention Center Station, 480 W Northwest Hwy, Irving, TX 75039, USA",Irving,TX,Dallas County,75039,0.0,0.0,0.0,0,4,7232.82,1808.21,3.0,3.0,3.0,1,18,29912.35,1661.8,26.0,1.0,9.45,11,306,262549.78,858.01,False,False,False,Donut
648,KIEST STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,1997.0,7100.0,32.707489,-96.801094,"Lancaster @ Kiest Sta - N - NS, Dallas, TX 75216, USA",Dallas,TX,Dallas County,75216,0.0,0.0,0.0,0,34,28768.94,846.15,3.0,3.0,3.0,1,247,49785.3,201.56,0.0,0.0,0.0,0,1262,219544.69,173.97,False,False,False,Other
649,LAKE HIGHLANDS RAIL STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,2010.0,10150.0,32.879729,-96.730376,"Lake Highlands Station, Dallas, TX 75231, USA",Dallas,TX,Dallas County,75231,4.0,3.0,3.5,2,26,17080.28,656.93,4.0,3.0,3.5,2,155,62411.43,402.65,0.0,0.0,0.0,0,959,309337.84,322.56,False,False,False,Other
650,LAKE JUNE STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Simple At-Grade Platform Station,2010.0,1071.0,32.732236,-96.709593,"6444 C F Hawn Fwy, Dallas, TX 75217, USA",Dallas,TX,Dallas County,75217,0.0,0.0,0.0,0,11,4159.62,378.15,0.0,0.0,0.0,0,134,36801.78,274.64,0.0,0.0,0.0,0,950,201758.59,212.38,False,False,False,Other
651,LAS COLINAS URBAN CENTER/LAKE CAROLYN STATION ,Light Rail,Dallas Area Rapid Transit (DART),Orange Line,Simple At-Grade Platform Station,2011.0,12125.0,32.868994,-96.93381,"871 Lake Carolyn Pkwy, Irving, TX 75039, USA",Irving,TX,Dallas County,75039,19.0,6.0,12.5,2,19,16698.0,878.84,6.0,4.0,5.0,3,16,48387.42,3024.21,26.0,3.0,12.12,8,64,164398.56,2568.73,True,False,False,Other
652,LAWNVIEW STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Simple At-Grade Platform Station,2010.0,25410.0,32.765562,-96.720925,"5886 Scyene Rd, Dallas, TX 75217, USA",Dallas,TX,Dallas County,75217,0.0,0.0,0.0,0,13,1461.68,112.44,0.0,0.0,0.0,0,75,20669.42,275.59,0.0,0.0,0.0,0,465,84459.82,181.63,False,False,False,Other
653,LBJ / CENTRAL STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Simple At-Grade Platform Station,2002.0,9000.0,32.918701,-96.751625,"LBJ/Central Station, Dallas, TX 75243, USA",Dallas,TX,Dallas County,75243,0.0,0.0,0.0,0,3,2918.79,972.93,0.0,0.0,0.0,0,67,32323.86,482.45,7.0,1.0,2.5,4,426,278867.71,654.62,False,False,False,Other
